revision_count,average_score,days_since_learning,days_since_last_revision,topic_complexity,retention_score
14,5.89,349,31,4,69.66999999999999
17,9.78,90,49,8,54.34
12,3.1,363,38,6,34.3
17,2.42,142,81,7,0.0
13,3.02,64,91,5,0.0
13,3.44,205,87,4,0.0
12,2.41,4,21,4,69.23
13,7.15,29,20,9,82.94999999999999
3,8.78,61,55,10,0.0
14,6.23,2,87,1,0.0
12,8.99,349,156,3,0.0
2,3.67,13,176,8,0.0
11,7.53,187,124,3,0.0
15,5.46,89,149,9,0.0
20,2.76,96,147,2,0.0
6,5.9,125,36,6,16.700000000000003
10,7.97,347,128,7,0.0
10,9.28,30,67,8,0.0
6,6.91,9,37,8,14.730000000000004
17,7.22,365,39,5,71.16
1,8.41,133,142,2,0.0
19,5.52,332,145,2,0.0
16,4.99,36,83,2,0.0
0,5.75,38,132,5,0.0
6,2.94,244,175,6,0.0
12,9.17,57,162,10,0.0
0,9.14,180,153,8,0.0
1,5.43,169,171,7,0.0
4,9.62,39,83,1,0.0
2,4.19,121,58,2,0.0
14,4.75,303,80,4,0.0
9,9.51,359,151,1,0.0
11,9.98,74,61,9,0.0
16,5.93,233,18,8,99.78999999999999
6,9.22,198,7,4,87.66
12,6.69,175,131,8,0.0
4,6.55,29,3,4,77.65
7,9.28,239,5,9,89.34
9,4.07,294,114,9,0.0
15,5.66,193,155,9,0.0
18,9.96,103,140,2,0.0
8,5.62,82,170,2,0.0
13,2.44,62,24,4,68.32
15,8.59,353,119,3,0.0
15,9.92,287,178,10,0.0
20,7.7,347,17,10,100.0
10,1.05,302,44,5,7.650000000000006
5,3.65,111,120,5,0.0
11,2.89,76,37,3,35.17
10,6.54,259,141,3,0.0
4,2.17,327,111,4,0.0
10,2.67,284,123,10,0.0
19,2.95,315,146,8,0.0
0,6.19,103,148,1,0.0
2,4.0,155,74,2,0.0
7,1.25,303,50,2,0.0
2,2.21,71,140,1,0.0
12,5.24,82,156,8,0.0
17,5.89,221,148,3,0.0
10,9.4,273,168,2,0.0
15,4.6,199,29,4,74.80000000000001
15,2.44,159,6,1,100.0
5,2.47,207,86,7,0.0
2,7.68,144,13,7,46.53999999999999
16,9.26,130,135,5,0.0
6,8.34,292,62,9,0.0
0,3.97,109,12,3,33.41
3,2.55,124,90,1,0.0
9,1.84,195,151,10,0.0
7,4.99,214,124,8,0.0
11,3.5,221,153,1,0.0
20,6.51,196,24,8,100.0
19,4.56,114,153,6,0.0
9,4.38,364,53,6,0.0
19,5.46,217,53,1,53.879999999999995
14,7.52,18,145,7,0.0
17,4.6,275,122,8,0.0
17,7.01,251,80,5,0.0
19,7.67,32,5,9,100.0
0,2.27,208,171,9,0.0
6,4.08,158,118,9,0.0
5,8.59,345,96,9,0.0
0,2.91,196,64,7,0.0
3,5.85,122,94,2,0.0
19,1.33,65,116,2,0.0
11,1.88,109,70,4,0.0
14,1.17,240,160,10,0.0
3,7.02,138,155,1,0.0
6,9.65,18,122,3,0.0
5,6.87,323,92,3,0.0
2,1.34,198,170,9,0.0
11,6.97,287,70,4,0.0
6,6.0,81,103,8,0.0
3,8.46,70,148,2,0.0
7,9.28,83,31,2,47.84
10,8.46,3,83,6,0.0
11,6.35,105,158,8,0.0
1,2.89,254,134,9,0.0
2,5.46,156,95,8,0.0
13,5.37,58,117,8,0.0
15,1.0,312,51,4,20.0
7,5.88,107,112,1,0.0
2,4.21,342,119,1,0.0
4,7.67,14,72,3,0.0
8,3.81,130,2,10,82.43
4,1.72,170,171,6,0.0
10,3.5,251,68,8,0.0
1,5.08,13,36,10,0.0
2,6.88,9,170,3,0.0
2,7.65,345,132,7,0.0
11,3.38,69,10,4,89.14
17,2.07,165,118,1,0.0
17,6.62,166,149,3,0.0
0,3.18,106,125,7,0.0
15,7.48,268,146,5,0.0
16,9.53,23,122,9,0.0
6,5.44,234,134,7,0.0
18,4.17,165,54,10,29.50999999999999
14,3.8,266,47,5,29.900000000000006
18,3.88,333,62,5,20.139999999999986
8,9.75,301,164,5,0.0
6,8.74,112,12,4,76.22
9,7.06,355,33,2,47.18000000000001
4,2.17,348,124,3,0.0
0,5.71,312,176,5,0.0
8,1.62,25,98,9,0.0
14,6.92,11,154,4,0.0
2,2.86,314,70,6,0.0
2,4.68,62,173,6,0.0
1,9.02,1,15,5,44.56
15,6.57,339,47,3,46.21000000000001
18,2.31,314,35,10,61.93000000000001
2,2.29,90,42,1,0.0
6,7.61,168,137,6,0.0
9,9.45,321,70,5,0.0
19,3.29,52,46,5,55.370000000000005
16,1.08,168,149,8,0.0
17,9.11,57,56,9,36.829999999999984
5,7.98,239,82,8,0.0
9,4.86,279,3,3,99.08
10,3.73,266,2,9,93.69
7,3.03,161,40,6,5.090000000000003
20,6.75,121,79,1,10.75
20,7.61,262,38,3,92.33000000000001
15,5.64,211,114,6,0.0
7,8.04,332,155,5,0.0
9,4.67,286,165,10,0.0
8,4.38,315,51,4,0.0
5,6.51,129,176,9,0.0
1,1.21,172,96,10,0.0
13,4.94,336,138,6,0.0
6,8.21,239,87,7,0.0
3,5.6,261,122,4,0.0
4,3.99,30,89,9,0.0
17,5.72,320,145,6,0.0
13,4.49,117,76,10,0.0
5,6.67,18,16,7,52.50999999999999
9,9.12,287,25,3,67.86
19,1.02,49,169,6,0.0
8,2.61,124,14,8,57.83
17,2.66,275,1,2,100.0
4,9.84,65,119,8,0.0
15,7.0,68,34,8,66.0
4,6.62,180,150,10,0.0
8,6.33,323,139,1,0.0
11,3.65,247,99,6,0.0
2,7.31,71,2,2,74.93
7,7.13,179,78,9,0.0
0,7.24,193,145,1,0.0
20,2.03,201,174,10,0.0
0,6.9,4,76,3,0.0
1,8.29,263,28,3,19.370000000000005
7,1.33,35,49,6,0.0
19,2.7,236,170,9,0.0
8,4.7,202,6,8,80.1
14,6.22,7,55,4,22.659999999999997
6,8.51,49,139,9,0.0
3,1.32,28,101,6,0.0
12,9.58,166,37,10,49.74000000000001
13,9.94,317,9,10,100.0
2,1.15,69,180,3,0.0
15,5.64,224,65,1,10.419999999999987
8,9.81,104,171,4,0.0
18,5.33,120,65,3,21.49000000000001
8,6.99,159,101,4,0.0
9,8.62,308,65,8,0.0
1,3.84,247,94,8,0.0
17,4.34,67,151,8,0.0
3,1.67,11,99,2,0.0
16,1.28,348,26,1,80.34
2,1.8,313,122,10,0.0
4,1.76,245,49,4,0.0
16,3.91,243,112,7,0.0
6,7.39,313,105,3,0.0
17,4.14,277,101,7,0.0
19,2.12,340,102,4,0.0
4,3.42,94,128,7,0.0
10,8.72,80,118,4,0.0
1,3.18,189,30,6,0.0
3,3.36,316,156,7,0.0
19,9.01,240,83,10,0.0
18,1.34,11,168,1,0.0
11,7.26,233,176,9,0.0
2,8.58,36,9,9,54.24000000000001
16,8.3,50,51,2,49.900000000000006
7,6.21,351,9,6,76.63
5,3.39,86,92,3,0.0
11,5.72,190,141,1,0.0
6,3.6,351,85,8,0.0
7,4.41,202,142,6,0.0
9,5.93,231,124,9,0.0
14,6.42,254,6,3,100.0
4,4.77,175,56,6,0.0
2,2.0,86,75,9,0.0
10,4.13,304,125,9,0.0
14,9.42,43,58,10,17.25999999999999
16,3.67,99,32,6,68.00999999999999
5,9.31,172,36,8,18.930000000000007
10,7.85,247,25,9,60.05
20,6.3,305,99,7,0.0
14,7.5,50,86,9,0.0
13,9.0,156,73,6,0.0
16,9.01,121,144,4,0.0
5,5.48,53,36,10,4.439999999999998
12,5.32,130,51,8,11.960000000000008
9,7.75,18,90,3,0.0
16,4.13,314,104,9,0.0
15,2.94,357,134,1,0.0
2,5.28,203,137,4,0.0
11,5.68,143,134,7,0.0
6,6.82,134,87,1,0.0
6,4.16,160,126,1,0.0
2,2.05,112,106,1,0.0
8,6.74,304,38,9,20.72
8,5.16,69,134,9,0.0
9,9.49,221,161,3,0.0
8,8.0,63,69,8,0.0
20,1.85,194,123,6,0.0
1,8.29,38,69,2,0.0
1,3.16,176,121,5,0.0
14,1.39,133,87,10,0.0
10,1.3,111,90,8,0.0
11,6.24,297,35,2,50.72
11,8.95,169,84,9,0.0
4,2.01,48,113,6,0.0
10,9.8,161,129,9,0.0
14,9.08,231,105,4,0.0
20,4.72,56,17,7,100.0
16,3.09,9,127,3,0.0
11,5.99,315,48,10,11.969999999999999
17,5.27,47,87,1,0.0
17,9.35,75,34,8,83.05000000000001
6,9.75,166,11,6,78.25
16,9.48,71,55,1,46.94
5,2.33,232,101,5,0.0
5,1.63,266,37,1,4.390000000000001
11,4.24,150,47,2,20.72
10,1.56,133,82,9,0.0
8,2.05,125,97,9,0.0
0,2.11,260,104,6,0.0
2,3.73,314,116,5,0.0
14,1.39,212,27,7,59.67
9,3.57,331,144,2,0.0
7,2.52,147,114,9,0.0
1,5.6,123,120,6,0.0
5,2.02,92,148,2,0.0
18,2.54,241,8,3,100.0
3,7.21,110,13,5,53.129999999999995
0,9.07,45,24,8,17.210000000000008
16,6.03,26,124,2,0.0
0,7.5,355,37,7,0.0
14,4.61,252,172,4,0.0
0,5.1,317,152,3,0.0
12,4.04,171,177,9,0.0
6,5.0,339,47,5,0.0
19,6.26,313,98,4,0.0
20,4.99,311,0,2,100.0
1,3.17,232,74,9,0.0
20,1.18,336,4,9,100.0
10,2.93,308,9,6,81.79
0,9.6,193,65,3,0.0
12,4.23,126,11,10,85.69
0,4.24,289,1,7,50.22
19,3.68,165,112,3,0.0
11,6.19,288,57,5,2.069999999999993
13,6.2,102,12,1,100.0
8,1.44,97,88,8,0.0
7,1.58,211,146,1,0.0
12,2.43,132,152,5,0.0
8,9.59,272,82,9,0.0
18,1.15,122,63,6,8.449999999999989
17,9.6,17,178,6,0.0
11,4.32,119,22,3,69.46000000000001
17,1.61,21,24,9,78.33000000000001
2,5.32,79,54,4,0.0
18,9.88,242,150,6,0.0
10,5.77,15,93,1,0.0
15,6.85,166,180,9,0.0
20,9.91,77,1,4,100.0
3,2.31,234,53,8,0.0
9,3.92,123,59,6,0.0
15,1.02,269,52,1,22.560000000000002
10,6.96,332,151,6,0.0
8,7.27,331,117,5,0.0
8,3.9,132,63,4,0.0
1,8.37,33,107,7,0.0
14,3.43,120,131,10,0.0
8,9.03,334,73,1,0.0
12,7.43,172,55,5,14.789999999999992
6,6.25,36,141,5,0.0
13,1.65,61,87,6,0.0
18,4.6,330,31,3,87.30000000000001
0,3.93,343,71,3,0.0
3,1.53,312,34,3,0.0
9,6.61,344,51,7,2.3299999999999983
17,5.93,245,74,7,0.0
13,7.0,26,76,6,0.0
6,9.72,73,33,5,35.66
9,9.92,32,14,2,93.75999999999999
17,9.73,320,125,5,0.0
14,1.22,55,151,2,0.0
0,7.44,316,3,5,58.81999999999999
14,4.86,77,112,10,0.0
2,6.17,240,110,2,0.0
18,1.52,107,16,7,100.0
15,4.06,355,142,8,0.0
17,4.83,68,136,1,0.0
16,6.07,27,28,10,77.21000000000001
19,2.59,294,77,10,0.0
7,1.38,236,96,3,0.0
5,1.91,109,109,9,0.0
6,6.22,131,178,3,0.0
12,9.51,156,173,1,0.0
1,4.59,349,141,7,0.0
6,2.8,269,136,6,0.0
19,4.57,314,163,3,0.0
10,7.98,356,133,7,0.0
2,6.11,282,71,9,0.0
2,9.36,295,62,9,0.0
2,5.26,48,84,9,0.0
20,2.29,110,153,9,0.0
1,8.1,239,25,5,21.799999999999997
15,8.31,106,104,3,0.0
15,7.23,355,91,6,0.0
11,4.37,196,133,6,0.0
17,7.24,6,137,10,0.0
20,9.31,43,84,1,8.430000000000007
12,9.63,231,0,6,100.0
19,7.7,82,92,10,0.0
16,4.55,66,151,3,0.0
0,7.6,14,148,3,0.0
1,7.66,341,55,3,0.0
14,3.17,359,131,4,0.0
2,9.58,76,104,6,0.0
1,2.67,264,150,1,0.0
5,8.1,33,172,6,0.0
5,6.09,178,95,8,0.0
1,3.72,7,17,8,20.159999999999997
2,6.16,200,18,5,34.980000000000004
2,4.49,118,21,8,19.47
4,8.31,165,141,2,0.0
18,3.06,118,81,4,0.0
18,1.74,301,174,2,0.0
7,8.93,147,54,4,0.0
18,1.11,108,39,5,57.83000000000001
18,1.71,77,49,4,41.129999999999995
16,8.53,284,20,8,100.0
8,1.93,23,9,7,67.29
15,9.09,64,116,2,0.0
19,8.03,121,136,10,0.0
17,1.29,210,32,4,68.87
9,5.52,41,146,5,0.0
6,3.12,21,138,2,0.0
4,4.29,326,61,4,0.0
19,9.41,137,165,2,0.0
13,8.29,285,28,3,79.37
12,9.5,250,144,10,0.0
12,1.35,342,65,2,0.0
2,5.39,122,136,5,0.0
20,2.42,159,16,1,100.0
10,7.73,227,54,7,4.689999999999998
20,1.66,44,18,1,100.0
15,1.44,296,163,9,0.0
1,8.24,8,66,5,0.0
12,8.88,318,163,2,0.0
11,8.03,65,22,5,77.59
2,7.28,310,164,5,0.0
17,9.84,103,159,2,0.0
9,8.48,74,147,6,0.0
6,3.56,130,74,10,0.0
8,9.03,361,97,10,0.0
4,9.88,62,112,5,0.0
19,7.72,245,26,7,100.0
18,5.94,129,26,2,100.0
8,3.28,270,67,7,0.0
12,4.67,285,73,3,0.0
6,5.49,328,123,7,0.0
9,6.63,297,144,2,0.0
3,9.9,58,126,10,0.0
20,8.45,52,159,10,0.0
17,8.64,358,79,6,0.0
2,8.72,160,100,8,0.0
16,7.29,278,104,7,0.0
14,1.88,293,63,4,0.0
12,1.71,218,13,6,80.13
19,3.26,344,68,7,8.280000000000001
15,2.22,115,27,7,67.16
12,2.86,4,140,8,0.0
10,2.88,68,87,6,0.0
13,7.55,216,92,3,0.0
10,3.21,238,43,2,20.629999999999995
18,5.82,260,32,4,87.46000000000001
16,2.54,45,173,4,0.0
10,1.97,139,171,8,0.0
1,9.98,200,148,3,0.0
0,7.89,16,108,5,0.0
11,6.96,224,110,5,0.0
4,6.43,315,15,10,44.28999999999999
13,3.74,349,113,1,0.0
8,5.55,255,180,5,0.0
9,5.92,162,75,9,0.0
2,1.2,159,150,5,0.0
14,5.9,272,166,5,0.0
8,1.06,59,110,4,0.0
1,3.74,86,58,2,0.0
4,6.69,158,147,9,0.0
7,9.64,93,117,3,0.0
6,5.05,155,3,6,80.15
0,9.98,59,139,6,0.0
1,9.56,28,136,7,0.0
7,9.38,241,49,6,6.140000000000001
8,3.97,293,135,8,0.0
11,3.89,226,155,6,0.0
11,9.17,184,134,2,0.0
4,9.76,337,170,2,0.0
12,8.95,254,135,1,0.0
15,3.0,86,29,8,64.0
1,3.83,140,85,1,0.0
9,8.91,338,95,10,0.0
8,3.98,335,143,8,0.0
16,1.78,8,177,10,0.0
3,3.21,182,2,3,66.13
7,9.64,330,116,8,0.0
10,1.9,173,139,3,0.0
1,4.56,246,41,3,0.0
10,9.19,8,80,8,0.0
6,5.85,115,87,2,0.0
19,8.17,285,27,8,100.0
5,6.19,242,34,8,13.569999999999993
14,2.51,319,88,3,0.0
5,5.08,54,160,6,0.0
13,8.73,227,19,4,97.19
0,8.55,17,85,9,0.0
7,8.69,30,47,6,8.069999999999993
4,8.06,314,74,9,0.0
18,8.68,70,19,4,100.0
17,5.68,61,44,4,58.03999999999999
3,4.29,111,1,2,72.87
15,3.74,124,104,2,0.0
0,4.83,198,17,10,15.489999999999995
8,9.51,91,1,2,100.0
5,1.48,17,35,3,4.939999999999998
18,7.56,108,135,6,0.0
13,8.41,270,172,1,0.0
16,7.83,360,100,9,0.0
10,8.07,104,25,7,63.71000000000001
1,9.98,212,84,2,0.0
4,7.1,26,57,3,0.0
18,8.25,27,3,6,100.0
10,1.77,22,99,8,0.0
12,3.43,349,178,2,0.0
9,4.98,166,74,3,0.0
19,5.74,89,80,7,0.0
0,6.74,185,54,6,0.0
8,9.12,29,137,8,0.0
8,7.8,158,123,3,0.0
9,1.23,199,14,6,61.69
0,9.29,347,56,4,0.0
8,3.62,195,23,2,51.86
9,3.33,312,133,10,0.0
7,5.37,95,109,6,0.0
1,8.76,230,14,2,50.28
1,9.0,6,0,7,71.5
17,9.62,51,130,2,0.0
10,9.85,262,138,2,0.0
11,4.26,20,160,1,0.0
9,9.28,281,111,2,0.0
10,9.14,63,163,3,0.0
15,9.93,69,129,9,0.0
4,6.5,132,52,10,0.0
14,9.49,221,94,2,0.0
18,6.43,253,4,6,100.0
2,9.85,130,153,1,0.0
18,9.08,150,169,6,0.0
7,5.03,211,163,4,0.0
3,3.57,184,56,4,0.0
9,9.69,117,42,2,37.06999999999999
16,2.12,149,152,3,0.0
11,6.78,321,145,3,0.0
3,6.16,286,150,1,0.0
4,4.51,358,1,3,77.03
2,3.32,288,50,10,0.0
13,5.75,196,70,7,0.0
13,6.08,42,80,7,0.0
4,9.32,82,77,7,0.0
0,5.82,144,113,3,0.0
20,5.23,91,130,1,0.0
6,9.01,274,3,5,93.53
0,5.84,150,83,2,0.0
13,5.53,148,15,1,100.0
6,5.13,273,130,7,0.0
17,2.77,286,76,10,0.0
19,7.5,199,151,7,0.0
9,1.15,184,80,10,0.0
11,9.69,360,103,8,0.0
15,2.08,173,56,6,10.240000000000009
20,6.72,47,84,3,0.0
1,2.33,23,68,3,0.0
11,9.97,182,168,6,0.0
17,8.78,302,32,1,95.84
5,2.51,87,75,1,0.0
14,7.69,343,9,4,100.0
19,7.21,140,78,2,7.6299999999999955
11,2.73,102,31,2,48.19
5,9.53,277,139,10,0.0
17,9.03,255,152,2,0.0
13,7.82,180,63,6,3.460000000000008
15,2.3,59,2,5,100.0
8,9.67,113,166,3,0.0
18,5.53,176,109,3,0.0
10,9.64,272,46,2,33.920000000000016
7,3.69,14,64,3,0.0
4,2.51,72,0,3,73.03
3,9.92,222,94,1,0.0
19,4.34,167,53,2,49.02000000000001
17,4.1,144,179,5,0.0
8,3.55,103,45,5,3.1500000000000057
16,7.47,248,69,2,11.409999999999997
10,4.22,111,81,2,0.0
20,2.93,363,41,9,63.28999999999999
11,2.49,289,86,4,0.0
7,7.56,347,117,8,0.0
19,3.96,82,157,9,0.0
6,6.0,144,143,10,0.0
8,7.8,50,134,4,0.0
19,8.82,117,141,5,0.0
19,1.98,107,162,8,0.0
14,6.1,198,63,6,3.3000000000000114
0,3.98,154,131,10,0.0
1,6.84,333,46,2,0.0
4,5.38,260,24,6,29.14
8,4.87,254,104,8,0.0
15,2.63,122,9,1,100.0
20,7.72,52,23,2,100.0
15,5.63,320,50,6,32.889999999999986
7,1.86,338,170,8,0.0
6,3.68,54,48,6,0.0
18,3.02,166,76,5,0.0
5,4.83,293,154,10,0.0
8,8.41,262,118,2,0.0
13,1.36,48,70,5,0.0
14,9.71,127,159,1,0.0
6,1.73,105,17,7,40.69
2,9.56,330,118,5,0.0
9,7.17,103,47,5,15.009999999999991
4,4.33,364,122,3,0.0
9,1.55,65,139,8,0.0
8,4.78,187,28,7,37.84
1,3.55,299,14,2,34.650000000000006
2,1.64,192,127,8,0.0
2,4.48,61,96,9,0.0
2,8.36,309,29,9,13.579999999999998
5,4.97,299,65,6,0.0
13,7.14,349,106,8,0.0
11,4.25,311,24,3,65.25
1,8.33,255,97,2,0.0
6,6.08,164,53,9,0.0
18,8.68,121,154,10,0.0
7,2.16,22,53,7,0.0
17,8.08,154,110,2,0.0
11,9.82,8,46,5,34.96000000000001
7,3.32,149,8,3,74.46
20,4.36,155,50,10,48.08000000000001
17,8.71,317,45,8,59.129999999999995
13,5.87,19,169,7,0.0
13,6.68,265,177,9,0.0
4,3.02,335,177,2,0.0
7,4.87,62,84,6,0.0
6,8.15,188,41,1,20.950000000000003
6,8.66,82,109,8,0.0
11,9.47,267,109,4,0.0
7,5.88,50,22,8,46.64
16,6.61,318,163,5,0.0
11,3.21,261,1,10,97.63
16,3.99,18,145,4,0.0
17,4.54,338,120,10,0.0
5,7.2,62,161,7,0.0
13,7.29,27,63,9,0.0
12,8.72,140,17,5,94.66
8,5.67,15,55,4,0.0
4,7.96,196,157,5,0.0
7,7.36,239,161,1,0.0
10,8.77,337,49,1,26.810000000000002
4,6.34,248,155,8,0.0
6,6.92,330,13,9,61.25999999999999
9,7.0,133,39,9,24.5
18,1.55,173,122,2,0.0
6,4.39,327,14,4,59.17
10,2.44,91,59,6,0.0
15,7.34,72,24,2,96.02000000000001
5,5.24,143,48,10,0.0
7,8.94,177,117,7,0.0
4,2.04,44,145,2,0.0
5,4.54,84,16,1,55.120000000000005
11,2.47,131,43,9,12.909999999999997
5,9.02,179,94,7,0.0
7,2.17,70,158,3,0.0
5,9.33,338,169,8,0.0
17,3.5,42,19,4,100.0
9,6.72,170,140,3,0.0
11,2.77,116,86,2,0.0
19,7.88,264,53,1,61.139999999999986
14,5.84,311,135,4,0.0
0,5.43,212,32,8,0.0
11,5.47,226,25,2,68.41
17,7.32,279,74,4,2.960000000000008
3,1.14,359,112,5,0.0
2,6.23,90,83,4,0.0
0,9.73,330,167,1,0.0
2,8.49,287,101,9,0.0
10,5.52,47,144,2,0.0
12,6.24,160,147,4,0.0
11,5.54,28,142,3,0.0
7,2.27,66,89,4,0.0
6,8.33,126,123,8,0.0
8,1.22,72,90,10,0.0
11,7.19,152,97,7,0.0
3,5.03,343,18,7,33.59
9,9.31,321,0,8,100.0
1,7.4,144,164,7,0.0
16,9.09,305,79,2,0.0
8,2.05,37,122,1,0.0
19,3.42,62,71,2,10.259999999999991
8,2.57,217,161,5,0.0
9,9.87,60,39,3,42.11
20,9.13,82,64,10,34.389999999999986
2,7.65,146,59,10,0.0
19,3.98,67,95,2,0.0
15,9.22,34,56,5,33.16
11,9.28,291,102,5,0.0
13,2.06,81,124,5,0.0
19,2.52,94,30,4,86.56
7,9.71,243,54,4,0.12999999999999545
12,9.74,54,5,9,100.0
2,5.32,264,117,3,0.0
15,2.08,320,82,5,0.0
18,4.11,150,87,6,0.0
5,6.35,312,131,5,0.0
1,8.99,224,90,2,0.0
0,6.57,145,119,3,0.0
9,9.94,207,88,4,0.0
11,1.25,23,83,5,0.0
10,1.91,251,127,3,0.0
16,3.43,250,162,6,0.0
11,9.43,105,169,5,0.0
9,7.7,33,108,7,0.0
16,3.74,14,18,4,99.22
15,1.5,290,108,10,0.0
6,7.64,307,169,1,0.0
19,8.86,100,141,5,0.0
3,5.9,149,156,1,0.0
20,1.36,179,180,5,0.0
6,1.31,238,174,10,0.0
15,8.75,78,144,8,0.0
4,8.73,24,7,3,77.69
17,6.05,163,59,4,29.150000000000006
16,3.97,6,110,3,0.0
5,8.41,337,67,1,0.0
3,2.36,135,119,1,0.0
18,9.3,137,18,5,100.0
13,1.36,315,11,9,83.58
10,8.97,106,54,1,17.409999999999997
9,9.52,11,22,8,67.56
19,2.15,205,128,4,0.0
15,9.17,233,32,5,81.00999999999999
11,3.79,365,104,6,0.0
7,4.5,216,75,3,0.0
5,1.33,184,111,5,0.0
3,2.19,193,2,6,58.56999999999999
16,5.56,237,54,7,28.180000000000007
2,4.12,20,93,8,0.0
12,2.9,331,63,10,0.0
6,4.27,280,6,5,73.31
13,8.02,78,110,4,0.0
3,7.83,15,18,6,43.49000000000001
3,4.42,218,159,3,0.0
14,9.64,333,18,3,100.0
15,9.07,207,3,1,100.0
3,7.9,176,56,3,0.0
15,2.94,259,169,5,0.0
17,7.27,283,47,8,50.81
2,7.56,363,24,1,33.18000000000001
17,1.46,349,89,4,0.0
0,5.66,304,150,5,0.0
3,5.51,152,152,9,0.0
15,4.69,302,101,6,0.0
4,5.38,218,26,9,20.64
9,4.15,74,84,8,0.0
2,1.19,64,175,7,0.0
0,4.71,120,67,5,0.0
0,4.49,294,27,1,7.969999999999999
7,4.01,102,160,3,0.0
18,3.42,198,21,7,97.75999999999999
7,1.75,138,100,1,0.0
8,8.32,305,81,1,0.0
14,2.37,164,18,1,89.61
5,5.15,236,175,3,0.0
15,6.27,251,94,8,0.0
3,4.38,39,117,5,0.0
5,8.92,170,44,7,3.259999999999991
7,9.43,157,117,6,0.0
16,4.0,263,115,6,0.0
8,4.77,359,9,8,74.31
1,5.69,174,15,10,27.069999999999993
0,4.48,352,170,9,0.0
15,9.91,201,121,7,0.0
6,9.22,349,99,8,0.0
5,3.16,104,55,6,0.0
2,5.03,358,20,8,23.090000000000003
5,2.88,288,154,4,0.0
2,4.64,61,34,2,2.9200000000000017
17,2.39,103,97,9,0.0
16,5.73,34,116,9,0.0
0,3.87,84,178,7,0.0
16,8.39,356,171,1,0.0
11,4.08,27,112,5,0.0
8,3.95,243,61,4,0.0
9,6.42,223,149,8,0.0
15,9.46,269,79,7,0.0
8,5.19,114,20,2,62.56999999999999
17,8.63,56,15,4,100.0
11,2.06,299,10,3,86.68
15,4.99,338,63,5,6.469999999999999
6,8.71,231,119,7,0.0
17,1.7,169,42,1,54.599999999999994
6,5.64,304,67,1,0.0
19,5.63,207,145,10,0.0
13,4.7,348,29,9,57.599999999999994
12,9.61,232,107,9,0.0
20,3.74,1,127,6,0.0
9,1.53,148,40,9,6.090000000000003
18,6.18,94,167,2,0.0
11,4.54,15,164,4,0.0
19,8.62,104,177,10,0.0
13,8.21,85,2,7,100.0
11,8.37,263,126,4,0.0
18,4.92,13,149,4,0.0
5,4.27,191,2,1,82.31
4,9.57,108,91,4,0.0
7,7.37,53,141,4,0.0
5,4.68,143,61,6,0.0
15,2.38,217,167,1,0.0
12,8.07,239,112,1,0.0
5,8.56,260,25,7,40.18000000000001
18,9.85,135,148,6,0.0
12,3.89,275,14,6,84.67
9,2.79,71,128,10,0.0
7,5.81,38,94,3,0.0
3,7.11,299,3,3,75.83
9,8.18,53,103,1,0.0
5,2.06,203,28,10,10.180000000000007
12,1.77,135,78,6,0.0
5,1.21,186,78,1,0.0
6,3.27,238,57,9,0.0
1,4.56,54,110,7,0.0
4,2.52,67,61,10,0.0
19,9.09,278,164,4,0.0
0,4.14,87,7,5,40.92
9,4.37,133,26,10,41.11
12,8.58,72,36,5,56.24000000000001
14,1.8,210,60,9,0.0
16,3.74,41,98,7,0.0
17,1.59,127,152,3,0.0
6,1.64,353,40,10,0.0
11,4.16,143,91,8,0.0
20,4.84,231,109,10,0.0
11,9.27,176,111,5,0.0
8,1.38,233,55,10,0.0
9,2.16,356,163,1,0.0
8,7.86,208,42,7,19.08
14,4.56,218,83,3,0.0
5,1.22,224,83,7,0.0
5,5.29,39,30,4,24.870000000000005
16,3.53,104,161,1,0.0
6,9.57,135,114,8,0.0
13,7.94,17,47,10,29.819999999999993
0,7.45,320,140,1,0.0
10,6.7,243,21,10,63.099999999999994
1,8.9,123,151,10,0.0
20,5.16,103,162,7,0.0
16,6.5,97,133,5,0.0
20,1.83,157,180,10,0.0
4,9.16,256,129,3,0.0
16,1.61,27,180,6,0.0
3,7.58,312,174,10,0.0
3,9.5,92,116,2,0.0
4,5.88,314,77,5,0.0
0,2.43,212,83,10,0.0
14,8.8,147,132,10,0.0
20,9.72,332,62,3,50.66
12,4.53,236,42,9,26.090000000000003
12,4.06,107,52,8,6.180000000000007
13,6.15,50,143,5,0.0
7,5.84,173,73,6,0.0
2,3.28,220,13,7,33.34
3,9.05,110,125,2,0.0
4,3.25,217,160,2,0.0
12,9.15,185,153,5,0.0
16,5.22,183,146,9,0.0
2,9.84,346,116,5,0.0
20,3.66,79,123,5,0.0
10,6.8,255,2,1,100.0
8,2.32,303,14,10,53.959999999999994
11,1.56,47,20,8,57.68000000000001
10,4.88,212,8,4,92.64
19,4.01,331,125,4,0.0
15,2.53,154,170,7,0.0
2,7.71,312,69,4,0.0
13,6.91,139,72,7,0.0
1,2.33,266,151,2,0.0
15,7.41,331,27,9,79.72999999999999
1,2.71,340,16,5,23.629999999999995
19,5.62,175,174,5,0.0
14,5.46,310,44,1,46.879999999999995
13,6.78,180,32,9,57.84
19,6.07,151,81,9,0.0
11,9.01,277,3,4,100.0
20,8.76,126,46,8,72.28
7,2.91,51,17,9,46.230000000000004
16,8.47,327,169,1,0.0
